/*risultati da verificare*/

year(t.timestamp),month(t.timestamp),day(t.timestamp),"count(distinct i.id)/count(distinct t.txid)","count(distinct o.id)/count(distinct t.txid)"
2016,5,8,1.0000,1.0000
2016,5,9,1.0000,1.0000
2016,5,10,1.0000,1.0000
2016,5,11,1.0000,1.0000
2016,5,12,1.0000,1.0000
2016,5,13,1.0000,1.0000
2016,5,14,1.0000,1.0000
2016,5,15,1.0000,1.0000
2016,5,16,1.0000,1.0000
2016,5,17,1.0000,1.0000
2016,5,18,1.0000,1.0000
2016,5,19,1.0000,1.0000
2016,5,20,1.0000,1.0000
2016,5,21,1.0000,1.0000
2016,5,22,1.0000,1.0000
2016,5,23,1.0000,1.0000
2016,5,24,1.0000,1.0000
2016,5,25,1.0000,1.0000
2016,5,26,1.0000,1.0000
2016,5,27,1.0000,1.0000
2016,5,28,1.0000,1.0000
2016,5,29,1.0000,1.0000
2016,5,30,1.0000,1.0000
2016,5,31,1.0000,1.0000
2016,6,1,1.0000,1.0000
2016,6,2,1.0000,1.0000
2016,6,3,1.0000,1.0000
2016,6,4,1.0000,1.0000
2016,6,5,1.0000,1.0000
2016,6,6,1.0000,1.0000
2016,6,7,1.0000,1.0000
2016,6,8,1.0000,1.0000
2016,6,9,1.0000,1.0000
2016,6,10,1.0000,1.0000
2016,6,11,1.0000,1.0000
2016,6,12,1.0000,1.0000
2016,6,13,1.0000,1.0000
2016,6,14,1.0000,1.0000
2016,6,15,1.0000,1.0000
2016,6,16,1.0000,1.0000
2016,6,17,1.0000,1.0000
2016,6,18,1.0000,1.0000
2016,6,19,1.0000,1.0000
2016,6,20,1.0000,1.0000
2016,6,21,1.0000,1.0000
2016,6,22,1.0000,1.0000
2016,6,23,1.0000,1.0000
2016,6,24,1.0000,1.0000
2016,6,25,1.0000,1.0000
2016,6,26,1.0000,1.0000
2016,6,27,1.0000,1.0000
2016,6,28,1.0000,1.0000
2016,6,29,1.0000,1.0000
2016,6,30,1.0000,1.0000
2016,7,1,1.0000,1.0000
2016,7,2,1.0000,1.0000
2016,7,3,1.0000,1.0000
2016,7,4,1.0000,1.0000
2016,7,5,1.0000,1.0000
2016,7,6,1.0000,1.0000
2016,7,7,1.0000,1.0000
2016,7,8,1.0000,1.0000
2016,7,9,1.0000,1.0000
2016,7,10,1.0000,1.0000
2016,7,11,1.0000,1.0000
2016,7,12,1.0000,1.0000
2016,7,13,1.0000,1.0000
